Paiwan,English
a namaya tazua za tu tjemawcikel tua sika aqumaqanan marekakakak,Inform your family relatives and friends
pida anga a cavilj na su kaka djavulung,How old is your brother
minpudruk,jump
sa paljetekuy nu penetje anga ta qadav nekanga kilekepe,Please get out of bed and finish the thumbnail at the right time
magagalj aken ta ku kama tiamadju anga ku aya,Because I was in awe of my dad they became
tjakuday u ayaing ti sensi,I had no choice but to tell tourmaline
sipakeljang,Introduction
uw na kisamulja su tai cu a sengsengan,Oh you take this job very seriously do not you
aza qusuc maseneq,The terrier will shrink
dingua,Telephone
azua nu siqaljuqaljup a sauzayan anema zua a palisi,Do you have any taboos about hunting weapons
na qivu aza keljen aya pai vaik a ken sa nua itjen kasuqelaman ni kina aya,The mockingbird once told her If my mother does not like me I will have to leave
maretimalji a nia vineli a sunatj ljakua nasecengceng tua mamaw a supu na pakiyaw,Although I bought a different book the price was exactly the same
vaiʼanga men na qemuljic,We will go to Kenting
pinucidiljan a djemadjas taza saqetjuan,You are going to have to take that hit all by yourself
na inatazua binunpay aza quma niamadju kaw,That is how the land was divided and then
tima na menilingan taicu ti huvuvu i Kay anga,Who told the myth of Grandma Kaye
aza kakanen payihuan matuaza avan naza,The fruit of his womb Cuifang seems to be the one
suliavu a keman uza liav anan a imaza,Enjoy yourself There is a lot more
sa araʼimav azua maʼeljang ui,When the enemy starts looking
avan nu ika tinakesian ni sensi,That is why tourmaline did not go on to college
tjuvuta aza timadju a ayangataavan azua a kasengseng tu masan bikilu a kasitungan,The tender part of its skin can be made into fabric
namakuda nu,How are you guys
lja rukelj ika makudrala rav,It is not that big because I walk around a lot
qau tuazua a se Ulanda nu vaik a pacacikel tua tja qinaljan sa selangada tu mamaw a kai mamaw a quljau nua kina caucauan se paiwan aya uta,After that when the Dutch traveled south and east and met people who spoke the same language and had the same skin color they called them Paiwan
mulusu,Prey Distributor First Blade
anamaya tjanuaken na izzua ku a vaik a kitulu a ljazuazua,At that time I had the opportunity to go to Extended Learning
saka e ulja mun a napualang azua mala malaluanga a a remengereng tucua nga,So I hope you all know that because nowadays the traditional mourning rituals are rare and hard to see
muri rasaras ken saku vengetjan,Get some yellow eggplants and plant them
azua a kisankiciqav a rusaljaveljavek,That fisherman often goes out to sea
sa paqaqadilji a pakiqepu ta aljak nimadju,So he paired up his daughter with Gululep
izua sun,Did you
anemanema azua a qemuzimuzip i ljavek,What kind of animals are in the sea
sema kavavuan itjen a sicuayan,In the old days all we had was farmland to work on
valjangatju,asparagus
lja aza i kulungan,Because of the Guru family
ui ayavu anga ta pilikuz numaya,Okay you will be the ending
qaw,approach something
a tja sikataqaljan maraliguligur ta rarasudjan ta parepaqaljaqaljay,The Paiwan tribes are characterized by a well organized culture
mapida a mareka su vetjek,How many siblings do you have
singa,mans name
izuacu a tiaken ikamanukena azaku ngadan ikamanuku kinavulj,As for my name I did not ask for it
mana pucekecek tua qinaljan i Valjulu,It is the family that started the Maer tribe
taparuarut maitucu nu aya itjen,Indeed if we say so
cumay,bear
pay anema nga zua timadju,What is it called
namayatucu za tjagulj a na malikupu a i patekuteku,The rock forms a circle and then underneath it
takuzuljan,one thousand
hi aljavaqr naza tjaqaljaqaljan ini ka pakanane ini ka qeljingen,They all agreed to talk about not feeding them and not helping them eat
namaljenguaq a kinaqadavan i tjanumun,How is the weather there
cengu,enameled potatoes
ini inika ken a nakitevelj tjayamadju,No I did not live with them
ui masalu sinsi,Got it thank you teacher
pakan na en,I will feed the chickens
tazua mapuqacaqacang lja,Much like subversive epilepsy
maraka aljak a mareka vuvu a mareka tja kaka,The children and grandchildren of the deceased and all our relatives
varukur,ship
a pacunan azua,Kindergarten
na iazua cadjucadju nua ramaljemaljeng au,In the old days old people used to have a tree for storing food
ui ljakua tucu maljianga kakudan dikilu anga pudrusa,Yes it is true But now that customs have changed you can plant it twice
nu saigu a paqulid a djemapes aza ljingav matu malalailaing a pupenicepiceq a pucemikecikem,Paiwan nose flute player says pipe with finger holes speaks
aw a hana nia kanen nia kanen,And then eat its flowers
drusa a puluq,twenty
ka pasusangas tua dripung aya sun,Before you came to Japan
sau djiqesu,You go watering
egingning cu aya,Oh This is Silver and Huan
temailj,ostracism
alatjuqan vetjuwar,bird trap
avan nazua kemeljan,That is the only one I know
daibanmi,the second child or brother
ljusepisepit,thin
matjaljaljak,Parents
kaqaqepuan kakasiuljayan,A place to gather for a nights sleep
sinipenetj angan mun ta kakaizuanan,Have you arranged a place to stay
a kilangda kitulu taicua milingan tai kinai Kedrekdr,Listen to the legend of Auntie Learning Kollegs story
ini na tjemaucikel ta vaqu,I did not say anything about Xiaomi
neka nu gasu tuazua neka nu dingki,There was no electricity or gas in those days
pa siapu apu,Pendulum It is for chewing betel nut
mipereper,vibrate
ljakua na cemiukuku,But he also speaks Chinese
namaya ta izuaza na qemati a semekaukaulj lja,It is like God sent me
nia vaiken a ljemita a paljing a,We will be home
anema sika malji nu pacun aken mamaw,What is the difference They all look the same to me
kicaquaquan aken a venecik,I am practicing my writing
pangul,hammer
vetjek,Brother and sister
vuteqiteqilj,White
pinivarung,Keep it in your heart
samci,Lung Kwai
maculju a pagalju,warm
aw tucu a na puvaljaw anga mapuljat,And now my children are married
ginki tji sulja tjengelai ya tjimaimanga,sulfa is very energetic and everyone likes him a lot
avan nu zemezem saka anemayatjen na malimud i cengceng a qiljas,So only when it is dark or how should I put it When the moon happens to be covered
pakatua rinavan a papacun tua rasudjan nua kinacemkeljan katua saiguan a malang katua pakeljang tua saluan tua cemas,The clothes are a manifestation of family cohesion and traditional creative arts and religious beliefs
qemavai mun a mare rava,Your two buns of millet cake
macenglanglaw,clear sky
abula,oil
a tja ayain na imaza,You want it here too
tikungen na en ni yungusen,I am engaged to Juventus
emungeting aken sema kuikay nu paka ta basu tja salenguaq a emungeting,I will drive to the church because it is more convenient than the bus
mavaday,separate
azua ta sipakapusalj ki e kisane aljak zazua,Remembering who we are as children on Day
djemetj,approach
aza u kai anga ika en sauing na u kama pasacasaw,I just told you my dad will not let me out of the house
palaingi uta pasasing,No photographing either
kaw azua ljemavia nu kedri a ljavia,Thatched roofs if the amount of thatch is small
pataljiz aya ta namayatazua azua a,It means that the fire is burning in the forest
drusa kingking ca djuwadjuway,This glutinous rice is more than patties
kacalisian a su cekelj,Is your spouse Aboriginal
a qayaqayam patagitagilj anga kidjekec,And the birds started pecking
tja sikit a maljekerin ma,Cut a little piece Thank you
anema nga zua nia kusi tazua,What is the name of the company
ma kapalak tua kikanan na sasayalj nua mareka qatjuvitjuvi,It is eaten by termites and other moths
sa tucu izua su sengsengan ,Then are you working at the moment
na lemekutj aravac semetjulud aravac,Worrying and very difficult
maqati anga men azua nia umaq a izua a matja tjelu,At this point we are fine with the three that are there
tjapuluqem,And the gift of grace
a mareqa vavuluvulungan,All those old men
izuanan za ti kedrkedri pai na minetuluaq a matjaizuazua aya maʼeljang timadju,Some of them said that another child had jumped to the other side of the river
kemakan,Are you eating
pariyuk,stockpot
au nu izua u kudaing,And then if something happens
nu pacun a qaliqali a semazua,When people come to my field
qutela e,troublesome
izua kakituluan ta patjara kai a laqulj tja si eseljangan a kitulu,I have a book on learning ethnic languages let us learn from each other
gemalj tuaya sun,And as for your comment about sometimes being haunted
mecevun amen kati linsuing,That is when I met Lin Su sing
au qineci a penuljat,So they are all dead
kiliyus,rotate
drusa,two
kelayu,hang
au ti sasavan,And then Shafan
tjagaraus,Mt Tabu in north China
sikataqaljan,Civilian family
ivalit,replace
nulemangeda taza na su kama ngadan malekutj a en,Hearing your fathers name scares me
aya tua,those
djemavac a pasa zua i likuz,Behind another mountain
sepapamaw,half
inika namaya tua sicuayan a emauaun sa kamaya,It is not like the old days when all you did was cry
ti tjen a na pasusu tu aicu a tjakudain aya tjen,How are we to follow this custom
manu pailjakama pacegedu aya,Tell your brothers to get up
kinacavacavan,body
cempis,pluck
matjaljaljak,Seniors
kapi,mans name
aw azua aicu a uri tja tjaljunen aicu ljavilu,The next thing we have got here is syrup formate
aw nu pucekelj anga itjen sa nu ika sun a i tjumaq a vusan pakitjuayaya itjen,When you are married if you are not the firstborn of the family we will make another family
tjakit,hunting knife
ania mazazangiljan ti vavulengan,Our leaders name is Fraulein
ana saceqalj itjin ana suljivatj itjin,That we may be free from fear and peace
caitawdaikung,daikon
nuru vaik tiamadju a qemaljup tjayau,When they go hunting
kemaizua,live
avan nu na aya ta ni sa tjaveceʼad,She is the one who handled the erection of the Lords card
pai aicuka masan sinziyangaitjin,And after we became Christians
udis,peach
madraqul,goiter
au zaz vavuy ika na madjameq ni,And then after the pig was not caught
sa,and
na benaubaus en ta siming,I am spraying cement
ka i papagungan ti djisan kacuing amen pakan ta sizi kata kiqadraqadr tua unma,In the ranch my uncle took us to feed the sheep and ride horses
tjakesain anga cu,Take this prey and cook it
na makadju aya tjen,Adoration
ceqer,frog
sa ka azua sema kaljuruc tua na mamazangiljan initj sa karuljuruljc ta sepaqadiqadilj ayatuazua,Regarding the status of those who go to the royal family in heaven it cannot be avoided
uli veneli aken ta vauwa pavelively mun,I am looking for rice wine Do you have any rice wine
kemasi kadjamadjaman patje masulem inika pauteutez nu vaik,From morning to night non stop
maljim anga ken a masipaisu makaya ken a kisedjam tua su paisu,I forgot to bring money can I borrow money from you
saka eazua semevalj,The rituals of being carried in marriage
angata,very much
kemeljan anga ken tu namakuda azua nia kakivangavangan,At that time we like me already knew the usual places to play
aicu a pakatua djikang a sitjugutjugud a sitaletalem a pakedjaw tu anema,They are interested in the planting of peanuts and other at the time of planting
kanganumaya temasi kula mantez i qulu aya na temala tua pinaka kilingan na tjemaupu anga tua,Unparalleled dressed from head to toe in bells and headgear
paisa pasemalavan a pasa Gukusiyu,Then we will report it to the township office
muri maka palidring aken a sema tapav,I drive to the block house
taigu ti sunte macay a u kina,My mother in law died when Sundar was discharged
kiyaw,ugly guy
a kiqarut ta kinedrengan niamadju,Sharing the clans year long efforts
aravac,very
ti kuljelje,It is called Gululel
sinsi ini ku pucug maqati sun a qivu a puita,I do not understand Can you repeat it again
na sasanguq azua mudingan,Your face is clean
tiamadju,they
ti vuvu i aang se kazazaljan ui inika na pucekelj,He is from the Vangan tribe He is not married
ai manumaya izua su zikang nu qazemetj pangtjezu anga kaiv,No wonder Are you available at night Would you like to have a meal with me
kericing,stockpot
azua bisangay tja pudringayan ta qecev azua padjavatan tja pudringayan ta seluc avanazau ququlidan,It is correct to catch mice through rangy and catch bamboo partridges through qjiulang
paljing,household
sineputj anga,It is already brewed and squeezed
uri venli aken tu ita a tjalupung,I want to buy a hat
aya zuma qadjaw,That is what they say I do not know
sukinatjenglayan,Your favorite
ljaki na semuturudj itjen ti kama nu ku aljak nu aya siki patjemacay sakamaya,Whether he is poor or not if it is about the children he will do it with his life
ea sepatj a kasiv a aya pu ricingan,Leave branches at the end of all four trunks
a matataitailj itjen,antagonism
anema niamadju aya saʼamaya sa,She always says her husband has nothing
paqulid uri siqalut,It is supposed to be sharing
semeqas,chop
kelju kelju samazau a pacun izua kava a tjalupun izu penuljat,Come and take a look We sell clothes and hats
saka ui,That is it
aicu a puk sinan pazangal lja,These beans are precious
suliavu,Eat more
ta vaqu,With Xiaomi
djemavac timadju a sema kakipucemelan,He walks to the hospital
tiaken a pudjadjaladjalan tja nusun a mangtez imaza pai aicu a su umaq,I am the one who led you here to your estate
pai sipasemalav a pasa kingsihu,And then we will notify the county immediately
angalj,spout
uiyinceku,Yes Atomic pants
gusi,nurse
qaw ui pai numaya ku paqayamay,I will try it I will try it
ui maculja anga ken izua anema kakanen,I am hungry I am hungry Do you have anything to eat
ayatua saljinga timadju ta tja vavaw a zineliulj,It is because he wants to find a job with a higher salary
aw ka aya masivitai anga ken ka aya kapadjaljun a masivitai aken,And after that I went to the army because it was time for my military service
maqati a ku sikisedjam sun tjai madju,I can help you borrow from him
aya cu a ku varung avan nu ku si tjaucikecikel,That is what I think That is why I am saying this
aw semekez i utauta,And then we will stay in Singapore
tu izua sipacunan niamadju,So they can see it
vaikanga kitjuqinaljan aza marekaka,The siblings walked to the autonomous tribe
sauzayan aya pahitun sihitun nia kuljiljiljilji katia kjaljaljuljalju aya,Ornaments Inhabitants Lalu and Guler wear them
neka anan a ku sudju tucu,I do not have a girlfriend right now
nu i veleljuan tjalju inu kisenaw tiamadju,If they pass a stream they clean it themselves
venangalj ui,It is true It is good
zay asu kicevunga nia su vuvu,Meet your ancestors there
au enamakuda namakuda sa ramaljeng a supacunan azua pina nemaneman aza turivecan nia ayain,What kind of clips are you seeing and what materials are they made of That is what we are asking
kacuin na en naza u sinan kina,My mom took me there
garuc,spatula
vavuy,A mountain pig
anan,yet
tjuqetjuqen nua turaku,Run over by a big truck
sikaladaladan,nursery rhyme
aya mun tazua ui ui,What did you think at the time Yes
qau ru aminanga siyagi a sengesengan,Because all that is left is the cement
namavali a aken sika saqetjuqetju a ku qulu,My head is blowing in the wind so I have a headache now
ee,Hmm
maqati anga ilingulj aya ramaljemaljeng ui,Elderly people say we can share the table
makuda,what
ika na kemuda,Nothing
ruqiladj aken itua liljing na kasiw a kilangeda ta milimilingan ni vuvu,I used to sit under the shade of a tree and listen to my grandfathers stories
nu ivasa tjen,When we were plucking taro
lja aza djalan,Because of that road
a sipazangal a timitja a paiwan a vavayan kata uqaljay,We Paiwan are the people who value equality between men and women
au u capelem,So I sewed it up
nu maʼayanga penuljat azua sa na metadanga,When all the taro has been baked and dried out
djemedj,everyday
tememetem,pack up
nia vinengetj a pimaza i teku,We are going to tie the hem
aw tucu a situ tucu a situ a imaza i ta a tja vusam,Now here in our national elementary school school
azazicu,All these things
galjuanan mirarua ravac a varukur imaza en a lemakac ta panadip sau mazua pusaladj a malap tua ku aralj,Wait the ship is rolling heavily I am here to pull the fishing rod and you should go there to grab me the net
tjelu cavilj a nia tideq,We are only three years apart
patagilj amen na maqulaw kati lisuing,I will start with Lim So young
ljaki namadringay kina mavenljat u ayaing,Is it caught in a trap or is it hit Let me put it this way
sinipadjuluanga,Already ready
aza ku kaka ti piya vaik amen a kitjupi vaik amen ki anema uta,Back in the day my brother and I went barking for other things
a timitja a se paiwan nu izua macai vaik itjen a pakirimu tjumaq a ki pulju tazua kinacemekeljan a maputiat,When a family member dies we Paiwanese have to go home as soon as possible to mourn the death
tjaivilivililjan a nia sinicevunga,The last time I saw you
caculjuin,slaughter
kina na kemesa anga ken tua ukayu kelju kenamau,Mom I have already cooked the rice come and have breakfast
dralekedrek,It is Lilly
pida anga su cavilj tucu,How old are you
saka aicu a tjaivililj,Next stage
a i singidan anga sun,Long time no see
manu anema nu kudakudain ljaljak ayazua tja nuamen nia qaqivuin izua nia turivecan sa ramaljen,What is the matter with you We answered Uncle we have a folder
yatjumaq kata yaingav,Hierarchy social system
ku kinavacukan anga nusauni uri temugut,I just turned over the soil and so on to sow seeds
anga,afterwards
puljaljuyan buka semainu sun,puljaljuyan burka where are you going
lja ika vaik a,I hope not
a pualjak,Production
uqaljaqaljay,male
ka na vaik amen ljakua amin aken a na aya,When we took the exam I was the only one who had applied for the construction exam
na sekavililj anga en a sema gaku ka kadjaman,I was late for school this morning
uzi kipakikim tjanumun manu imazamun,I have been looking for you and here you are
inuan makaya sun a tjemaucikel,Can you tell me where
aku tu maka paqenetj sun,How do you remember
ui ljakua,Yes But uh
saka tucu patjatjuay,Then we will find it ourselves
tembiljaq,pry open
kadrukadru,bamboo cup
mavilad,fleeing
nu kakuiljan ki aya,If the water is boiled light
kemasi tulu na ku kama nakuya ika kilangeda tua ripung,My father taught me not to listen to the Japanese
qakikena malivunavunai a vaivaik a matazua ika paljkakaraw tjanumun a maquang,Is it possible for me to walk around empty handed like that and not share a wreath
na matazua za mana ngalian ni vuvui satjair,Here is how great Shadal El was
azua nia sasekingan,The subjects we will be taking are
nu kitulutulu amen kisedjam timadju tua salasaladj ta inpic siquliqulip katua vaveikan a laquljzakitju,During class he borrowed pencils erasers or notebooks from his classmates
qapipi avancu a anemaya itjen lja ina tucu,It is a bigger taro baby What is it called mom
vaikamen a matapau ita matjaljaljake nimadju,Walked to the hut to see his parents
saljingan,to intend
ui izua azua lja izua,Yeah it is in Nevada What church did you go to
mesuawmisuaw,yawn
matu na pavalit anga ti tjuku ta sengesengan,I heard that juju recently changed jobs
au e maitazua sa nu aya temevela i tjaizuazua,That is how it works You ask a question here you answer it there
ui inia siamanguaq na inia maitazua aya,If you do not it is bad luck
ku,my
nekanu iqana penaljing tua padai tua qiniraumalj akinuletjan nua Cemas,There is no household where God does not give the grace of picking up crops to his people
au ma a ali ali amen mapida male rangirangi,And then a few of our friends met up and left
ui sepiuma timadju,Yes she is from the Puyuma tribe
ljakua qivu a tauki madjulu anga cu inika maqati anga tja kiluvadan aya,But the boss said that it is already very cheap and cannot be reduced any further
mazua tua ui ika vaik a kitulu,Read over there
venelid,flip
tu,Come on
ulja mun a emeljang,I hope you know
sulapiq,dexterous
ui a mamaza aya itjen,Yeah come here
au izua za qemisaqis tauta yu napacung na en taza qemisaqis,And then there is another one I have read about divination
izua men na,I have been thinking about it over there
cuparang,indict rice
kerilj aya mun,You said sparrows
puita aken a pasan kava izua ui,Once I was ordering clothes in Taipei
namayatazua,That is it
avan na djidusiya lja,But it is mostly the car
pida kula nua gang,How many legs does a crab have
ui sau pakilimu,Okay go quickly
iinia djaljung ta puluq sa pitju a cavilj,Under years old
kaw seqeledj timadju,He is trapped
a setimur aya,Did you say mountain gate
bulay angata ca su sineljavakannanguaqa ngata,That is a great testimony It is beautiful
pavetjuar,bird trap
kasicuayan ini,It was not like this before
nu izua za nu sakivala mayata sema tja nuamen,If you want to play come to our house
kisedjamu a su salasaladj tua siquliqulip,Please borrow erasers from your classmates
malimmadrawdrav,forget
kavuluvuluangaken sevacaq azaku ljakaraw,In my old age I will fight for my wreath of honor
u wa na na nga parut lja numaya,Whoo That is my beloved baby grandson
e madudu azua tia qataqata,The glazed beads get angry
taza pusavusam nua aya,About the seed place
zangaw,Lao beetle
aicua patarevan na ramaljemaljeng sa,There is always a reason for what the old folks teach
kemeretj,cut
tjala ilu su palavay na aya za u kina,Mom told me I will not let you go hungry
uqaljay,of the bridegrooms family
sa avan anga remasu remasi a varung na ramaljemaljeng,That is why the elders have to stay under the sun all the time
x izua saihu a semanaya ta sulungun ni ki vaika sikigagang,A master made a box for catching crabs
paljing,doorway
nuizua su aljak a vavayan aru nia pasicekeljen kikasuna macai tjuqalja,If you had a daughter to marry you would not be dead at the hands of your enemies
qezungmadu,window
sualapen,exclude
navenala sun anema su velin,Hello what do you want to buy
izua kilimu a ljitaladju,Yes come on in
alapu ta nu siuliulip,Please take out the eraser
ulja izua kaljuvunljuvung aya timadju aya aza kaljuvuljuvung nimadju ayapasa navalj,She thought I wish I had a front yard Ten of her houses have front yards and they all have front yards to the north
qaljemqeman,sweetness
quma,dry land
izua vuqasi,There is groundnuts
biyuing,Hospitals
kimun na maluljay tua djalan aya tjiya maresikacekelja aya,Cousins say the journey must be very hard for you
gemucguc,scratch itching
pidanga cavilj na su kaka ti Quzang,How old is your younger brother Quzang
ikatjen a makaya a keman a matucu a remius a keman taza pasamaza itua na zuma a sazazatj a kakanan,You may not dig into the food in front of others on the sidewalk
qau,Results
a keman sun tuca tjianes,Do you want some oranges
nupatagilj aken ku kialjing sa ku kiqaungi,I will pray before I start
aza azua ku kikai anga tasawni,As I just said
tumatu,tomato
i tjumatjumaq itjen sakamaya ta amin a sema vavua,We are all at home We only have farming jobs
izua tucu i biuying a kipakinsansa,Yes I am currently hospitalized
kitulutulu sun inu,Where did you study
kana avan a semagadu a nusiaya,If it is about hunting in the mountains
a pita nitjen a sicuayan a kakudan a parut pitua namakada a i qinaljan a,These are the habits and sights of our tribes in the old days
puaming,After it is over
tukedri,some
napu akuma tja ayavau,Let us just say it is a ghost
anema su pinakavavavan a mangetjez,What kind of car did you take
maljimalji,Thank you
namaya tazua a niamadju a a sikalakudan,This is their traditional custom their traditional way of doing things
sinsi marekutj aken tua qatjuvi,I am afraid of snakes
patjaivililj,later
zu,elephant
likuljaw,leopard
nu secevung itjen ta namayatazua aya,When we are in a situation like the one described above
kilimu vaiki tja sipaseljavak katua mapuljat,Let us go back immediately and share it with everyone
mavanaicu imazai lakuculjan,It is the name of this place called Raghu Raghuram
kumalji a kipasasing masengac,No photographing either
manu secevung ta nia kiukay a sinzia,A chance encounter with a church parishioner
na maljekuya a macai,It was an accidental death
kalja zalangzangan,in summer
aya sun pupicul,You said it was strong
pinakalevan nanguaq aravac a su sinitulu tucu,Thank you what you taught me today was really great
ikamen ana pazazekatje aya,We do not have an answer
a ma a puretdjapesan,receiver clean millet
ipu,soil
mani kiqenetj a en a pasa patekuteku,I ended up looking at it from the bottom
kitjukuda kirimu azua ku kaka ti asik,My older sister left us a long time ago
inika tjen a e pacalugecug mayatazua sema tjuqalja,You cannot do anything you want when you go to another tribe Go to another tribe
sa ku seqetji a drusa a puluq a vatan,I will just save twenty dollars
kisuna macai i tjuqalja ayain aken ljamarekaka aya tivuvui satjair qa,You will die on your enemies Tell me that Two daughters
kemeljang sun tua anemayamaya ken a su sinsi,Do you understand what the teacher says
ani su vuvu i Ripun a patadalj izua anema ni vuvu i Ripun naluwan ni naluwan inanayau,Grandpa Liber What is the song Grandfather Libre in Batadaraku Neruwan Neruwan Neruwan Neruwan Neruwan
nia kakedriyan a nia aljak,Younger children
nakuya keman tua nemanga,Do not eat
temedu a sicuaya,In the old days culture was really cumbersome
Ilja ti tjaranurinanau cu masalu sakamaya,Thank you for assigning me Thank you anyway
pidanga a cavilj ni tjama tucu,How old is your father
imazamen i tjai sepaiwan aya taicu ai tjaimazamaza tjayau qinaljanan,On our side is a small settlement called Paiwan
auzua namaitazua,That is what it looks like
tiribi,television
anema pagaljuyanemaya lukay,Why be careful What do you mean
neka anga nu qatiya sau kisedjamu tjai Umi,We are out of salt let us go borrow some from Umi
keman sun tua tjianes,Do you want some oranges
tja liaw,There are more endless stories to tell
a tjavulung ti kauljaljua tjaljaljak ti mau tjukutjuku aya,The big one is called Inhabitant Lalu the little one is called Qiuluo
qaljemaqem aravac a sinitalem ni vuvu a suika sanguaq angata,The watermelon grown by grandpa is very sweet and really delicious
avan azua inia sekelai ta rugus,You will not get caught in the branches
paravacanga mareka kakedriyan vaikanga na kipasavid angasakamaya,Especially the teenagers They live outside
nana vaik a men a kipaday mata nia can,I went to the fields to participate in the rice harvest
izua ngata kakudan,It makes sense
lja malatjak itjen tu avan na qudjalj,Because we are afraid it is going to rain
uri qemadav tucu,Is it going to be sunny today
pare timaljin a uqaljai katua vavayan sa kingadani a patudur mavancu a temideq a pacusu ta papungdan a siaya,The name is given to the grandchildren of the family according to their gender
anemanan lja maredravadrava nu siqaung,What are you good friends crying about
valangis aya itjen tucu,It is what we call a sprout
anema,What is that institute
maretimalji,not the same
muri makanema sun a sema tapav,How do you go to the block house
udjalj,rain
tia vacuku anga,The late Rough and Tumble
cacavalj nu ayaitjen tjaza gatugatu atja tjatjakaljavan ta mantjetjez,Yamama usually waits for people at the top of the mountain
kasicuayan namatazua mavana nia kakudan tjayau a imazai tjukuvulj,In the olden days it was customary in our Devon tribe to do this
tuki na kemuda ayamen,What is going to happen
anga,possess
maka ta tjaitjailj kaw semamaza mata tailj,I was going this way but I ended up going the other way
ljakua beneres sa qemulip a patagilj,But later on the cement was sprayed with smoke
sekiya au aicu,Sakya what about this one
aicu anu tjeljaving nu pualjak,It is time for the baby to come
malekutj a ken tua qatjuvi sika ini pacun na ken ta kanaqatjuvian,I am afraid of snakes so I do not look at snakes
a se paiwan seman pazangal aravac tua namaqacuvung a initungan ayatua a kemasi qulu a pasa tua kula izua patarevan a kakudan ta kinialalangan,The Paiwan people also emphasize the integrity of their clothing with head to toe attire having its own meaning and function
sivecik,take note of
meciluq a en,I am getting pregnant
ka situcuan a sika tjelu na djemameq aken ta vavuy,In the last few days just the day before yesterday I hunted a mountain pig
macaqu sun aravac a penayuanan tima na temulu tjanusun,You speak the language well Who taught you that
unsing,hot spring
kemudra tjematjukun,dig
inika qemudjaqugjalj tucu nu pasuvililj tu cengelj uri qemudjalj kacu anga ta ljinay nu macasaw,It is not raining now but it will be rainy in the afternoon so you need to bring an umbrella when you go out
inika nakemljang aken tu namakuda timadju tucu a caviljan,I do not know how he is doing this year
ui tjengelay en,Sure I like it very much
ventilak,leaf stripping
kizuken zemukum,lower your head down
sa izua ngata zaqu anamatazua,So that is why there is the Pearl
kasi vavaing a ljeteku,Scrape from the top to the bottom
tuazua kakedrikedrian makai gadu,They were all young
sau vaiku a semazua aya za marecekelj aya,The couple said to go to her place
pazurung,more
natemulu,religious
metarivak a tja kinacavacavan,Keep us healthy
vekukur,bird trap
ljaki maru maculeq za aljak,Even if the child is naughty
maljimalji davadavay a mapuljat,Thank you everyone for your hard work
nutiyaw ku sipacikel tjaimadju,I will return to him tomorrow
uri anema su kanen nu kingcengecengelj,What are you having for lunch
ini nakuya aya en ui,I felt something was wrong Sure enough
avan kina maleqalian katazua na ti vuvu calivat anga,It is his former friend Differential Fate
qau nuna matazuanga puqetim timadju izua sipatutu ta aljak nimadju na matazua ka tjai sangas,That is how mothers breastfeed their children That is how it used to be
ini lja ladruq ljakua ki lutje aya,No it is a long story but we might
ljaki,indistinct
sikaw,backpack mesh bag
au namayanga pini angalj,And in your mouth
aw kemin aken tua a pasang umaumaq aw seman umaumaq amen,So I went to a builder of covered houses and we did the house building work
Pawles aken,I am Pawles
mun,You guys
ui inia tjen a pudremasi,Yeah no more tanning
kasinu mun,Where are you going
qudjidjilj,Red
nima cu a siquliqulip,Whose eraser is it
tucu a cavilj tapuluq anga ku cavilj,I am years old
vaik timadju a ma daibu,He is going to Dawu
anemanga zua ngadan nimadju,What is its name going to be
ljakua nu azua yasangas aken,But jumping over the barriers I am way ahead
venangalj malim anga keng kivenangalj ki ini venangalj,Will it work I forget if it will
ali,die
aitucuing naʼen tua vilivililjan,The last time he told me
aicu a titjeng imaza i a mapuljat tjudruvu anga na setevelj tjanu itjen a mapuljat,We live in other peoples lands because of life changes
makapaveli anga men tua qacilu,We are out of eggs
uri,will
aza kiniveacan tja paqaljayn sakamaya aza su kinamamazangiljanane inika makaya su sikitadrev,The Originals must respect your status not as a dowry
semenay,sing a song
kemudaitjen nakuya nu iniqatja qacuin aza qiljivak nua Cemas,What do we have to do We have to take Gods love with us
aya za ti vuvu i savuluvulung,This is what the old man said
pidapida cu a vurati,How much are these sweet potatoes
kiquzang,catch a shrimp
a niaken a si masiaq aken,It is my style I am embarrassed
avan aza u pinacunan taza ramaljemaljen nu puqezelj aʼen,Just the elders I have met I am trying to remember
neka nu ku kaka uqaljay izua matjelu a vavayavayan,I do not have any younger brothers but I have three younger sisters
au cuay yanga tjumaljang na ken,It took him a long time to tell me
aicu a djulis,And this fermentation pill
djinumulj a qipu,mound
a ljaviyaviya au mavilad a vavuy,A bunch of mango grass and a mountain pig will run away
ika maqati a semevalj a en,I cannot carry it
satja seman ljakarakaraw aza ljapuljat aya pai,At the same time we made wreaths for each other
Cemas anan sakamaya za mana paquziquzip mana pakakulekulekuletj,It is only the God of creation who has the power to nurture all things
djavai lja tja kaka pinaparangezan aken tua papucekelj nutiyav i tjanaasia,Sorry I have to officiate at a wedding in Yilin Village tomorrow
ka vaika mavavaw a u valjaw sa tjaucikeli aʼen tucu,When my husband came upstairs to tell me about it
maya tucu a temeleva za tji mukay,Mulcahy answered it this way
ru kaimazan anga men a kaimazan angamen ayamen taza,To settling here Saying that we have settled to
izaua a caucau i vavaw i qaljiu a kemaljavaljva,Someone will be waiting on the roof
aicu djavadjavai djavadjavi aicu aku sini tjaucikel,Peace to you all Good day to you all This is the mythological legend I have been telling you
seu,taste
kinaquljavan,color of the air
