Amis,English
anamaya tjanuaken na izzua ku a vaik a kitulu a ljazuazua,"At that time, I had the opportunity to go to Extended Learning (more)"
ljakua avan a na sinturudjan na nia kinacemekeljan,But because of our family's plight (poverty)
avan a nia kinatjuruvuan a marka aljak ni kina a vinaikan amen nua nia kama,Because my mom had a lot of kids and my dad passed away.
e na ika ken a maqati a vaik a sema gakku a kitulu a sinalu anga ken a sema ta a,"I couldn't go to school, so I went to Taitung Girls' High School, the junior high school I was guaranteed admission to."
ljakua tjakudai ika ken a maqati a vaik a sema gakku,But what can I do? I'm not allowed to go to school.
tazua na izua aravac a ku lja tiamen a puamin a i cavilj,"At that time, I really had a good chance because I had finished school that year."
a i tiaken a na ma piliq tu a pasa i,I'm the one who was selected to be sent to Junior High East Girls' School in Darren Township.
ljakua matazua anga ma ki qulip aken a kitulu ulja avan a nia kinacemekeljn a malain,But that's how I gave up studying because of my family.
au nu mayatazua tiamen kasicuayan neka nan azua aya neka nan cu a a sagakukuin,That's why we didn't have a so-called junior high school when we were in school.
au nu puamin amen ita karakuda anga men a sema vavua,"When 6th grade (school) was over, we had to go up to the mountains to work"
au tazua lja namaya tjanuaken,Just like I was then.
a niaken a pina kaizuanan,My experience is
e puamin a ken a nusauni a qadaw vaik anga aken a kalakuda a,I'm graduating today and I'm going to work.
kizeliuljan ta ku mareka ku kaka mareka ku salasaladj a namaculuqut a pinakaizuanan,Counting hours with my siblings and my classmates.
sa mazazeliuliula nga men ta karakuda mazazeliuliur mare paqeljiqeljing tua nia sengsengan,Then we switch jobs with each other and cooperate with each other (to accomplish) our work.
nu aya mazazeliuliulj amen a maljelima malje unem,We've got five or six people who switch jobs with each other.
au karakuda amen a mapadjavay a sengsengngan,We work. We work a lot.
au matjatji itaita a cemekeljan nu karekuda amen,We go (finish) the job one house at a time.
au numaitazua ta sicuayan a nia sika ciuciuran,That's how it used to be when we were together.
au numayatazua saka cuacuay anga amen a maciuciur a karakuda a mazazeliuliulj mapaqeljiqeljing,"So, after a long time of switching jobs and helping each other out"
izua tu izua anga za pinuqezeqezelj na nia zeliyuliyuljan a zuma,"In the exchange of jobs, there are people of special interest."
a izua nga za piniliq tu katjengelalayan a sudju tu sudju nimadju,Sometimes you have to choose who you like and hopefully you can be his lover.
e aya nu remaeatjan saka namaka tjengelay makaqetjem anga mazazeliyuliyulj a mare kivalavala,"Sometimes you just like each other, and changing jobs and visiting becomes the norm."
au tasicuayan nu mangetjez a kasi vavua a mazazeliyuliyulj maciyuciyur a,"In the old days, when the companion who changed jobs with me came back from the mountain, I was very happy."
nu izua za nu sakivala mayata sema tja nuamen,"If you want to play, come to our house."
tjuruvuruvu azua maciuyuciyur tjanuamen a kivala,A lot of people come to our house to play.
mangtjetjez a hugadrakan a varung,The idea of having fun together
sa nu izua za na aya tu na peniliq anga tu na tjengelay,"And then, if there is a person who has already chosen a favorite."
izua anga za kiljangljang nimadju saka izua za pinuqezeqezeljan nimadju,He's already got him. He's already got someone he cares about.
ljakua ulja tjuruvu a maciuciur a kivala ika makeljang tu tima kinatjengelayan azua vavayan,"However, since there are so many of them together, it's hard to tell which girl they like."
au nu izua kivalavala tiamadju temalidu hugadraka lja semenay,Sometimes they come over to the house and sing songs while they're having fun.
nu namaya ta sema tjanuamen lja kemeljan tu ru senay aken,"For example, when (they) come to our house, they know that I sing a lot."
pai tului amen ta senay aya temulu amen nu aya nu qezemezemetj sane senay a tjuruvu,"""Please teach us to sing!"" When they suggested this, many of us taught and sang during the evening."
au nu maljiya anga vaik amen a mazazeliyuliylj,"After sunrise, we went up the mountain (farming) and exchanged work with each other."
nu nia kakudan ka sicuayan lja,It's what we used to do.
kasicuayan kisikasiw anan itjen nu kemesa itjen,"In the old days, when we ploughed, when we cooked, we chopped wood."
azua uqaljaqaljay nu izua za tjelayalayan tjanuitjen a zeliyuljan a vavayan,If the guys are switching jobs with each other in this group of girls who have favorites.
masikasiw sa pasazuai ta tja umaq nu izua tjengelayalayan tazua zeliyuljan a vavayan,"The group of people who were changing jobs with each other had a girl he liked, and he would bring firewood and put it in the girl's house."
au namapaqeljin ta kasiw azua a aya a tjumaq navavayan,So about firewood for the girl's family is helped (a lot)
nu sematja ta macidilj a macidilj a karakuda aya nu masulem masikasiw lja,"If the other party goes to work at the other party's house, he or she will bring firewood with him or her after the evening."
nu vaik anan a sema vavua na kemacu amen tazua quwar,That's why we bring hemp rope when we go to the mountains.
nu kasi vavua amen sa uri masulem anga kemikim amen tua kasiw tu nia kacuin a tjumaq,"When we go up the mountain, after dark, we look for firewood to take home first."
qaw izua nia sivengetj ta nia kini kasiw,So that we have a rope to wrap the firewood with.
au nu azua ku kai anga nu izua na tjengelayan na zua uqaljaqaljay,"As I said, if a guy has a favorite person."
pasazuain ta vavayan a pinasikasiw,The firewood will be moved to the girl's house.
namayatazua sini pinzazeliyuliyuljan kasicuayan,"That's how it was, when they switched jobs."
au nu remaketjan izua za aya nu izua za nasasudjusudju sa uri marepucekelj anga,"Sometimes, love has reached the stage of marriage."
nu aya nu ika rupasikasiw azua uqaljay tu zua uri lja uri pucekeljan,If marriage has been discussed and the boy does not always give firewood (to the woman)
au nu mayatazua anema itjen lja azua masikasiw pakeljang tui na tjengelay,"So, what can I say? Giving firewood is an important thing. It's a way of letting the other person know that they love you."
au azua ika pasikasiw remuin nu cuay anga,"""He didn't bring any firewood."" That's what they used to call him sometimes."
ika rupasikasiw aku tjakatjengelayan namayatazua aya nu cuay anga azua uri marepucekelj,"""He doesn't always bring firewood."" Why should we like a man like that, who's going to get married in time?"
au avan nu sika aya nazua masikasiw na kasicuayan,"So, this is the (importance of) firewood delivery at that time"
au nu mayatazua mazazeliyuliyulj nu ita qadaw saka ika nama ciyuciyur tiamadju,"A day of exchanging hours with each other like this, when they're not together."
nu kasicuayan nu tjamazuazua ta gadu a quma na macidjlj,"In the old days, if another man's farm was a little past the hill of"
masasenasenay a mayatazua a a uzai mun i zua i avan nu sika,"They sing to each other like that, you're on the opposite side of the mountain, that's why they have this song."
izua senay a aya ui uri maitazuazua a ku valung,"With a song like this, yeah, I do."
au nu semenay itjen,And then when we sang.
naluan ai nane lja ui naluan na lja i a na ya u,(No Chinese record)
No Record,(No Chinese record)
inuan anga nu ayaya men ai lja manu i ljeval mun a i lja ai nu a i,We were just wondering where you guys were right now. Turns out you're just across the hill.
aya itjen semenay ta tja izuazua a tja salasaladj ui,And so we harmonized with our companions on the opposite side of the mountain.
au aya lemangeda azua tja a tjarayurayuan,Our friends across the mountain have heard our song.
tja aya tja sudjusudju temevela nu remaketj,Our boyfriends sometimes answer.
a sitevelan niamadju semenay avan azua a aya,They responded by singing.
azua tjaisangas a ku senay azua si ayaya,The song that I sang in the previous paragraph stated that
i kina sema inu azua ku zazeliyuljan nelja aya azua valung niamadju,I don't know where my fellow workers have gone. They think so.
manu uzai mun i ljevaljeval aya izua mun a nia pacucunan aya ui,So you're on the other side of the hill. We're looking right at you.
i aya za aya a semenasenay au azua i temevela,They answered us from the opposite side of the mountain.
idu ui idu kengcengelju nia nu sini pazekatj aya,"Come on, come on, come on. Please, come to lunch. We have reservations for you."
a a siayaya idu kencengelju e liyaw a nia kinsa a nia pinazekatj tja nu sun aya,They rapped: Come on! Come and have lunch! We cooked a lot and reserved a lot for you.
ui namatatevela anga azua tiamadju,They answered each other.
aza a tjara azua tiamadju masasenay a matazua,"They were on opposite sides of the mountain, and they sang to each other."
au ui aya tasicuayan malji ce~madja masasenasenay nu ika na maciuciur mazazeliyuliyulj,That's why I used to sing to each other even if we didn't exchange hours together and even if we were far away.
ui ljaki ika tjen a kemeljang tu tja kinljang a quma tjayau,"Yes, even if we don't know, we know that (their) farmland"
nu izai nu izai nu izua tja kinljang a quma tu,There's some of it out there. There's some farmland that we knew about.
au nu remaketjan tja sasenayan tu nu i vavua tjen uta a aya,There are times when we sing in the mountains
nu tjakudan a semenay nu tja pacunan a tja salasaladj i aya ljevaljeval ay tazua i,"If the companion on the opposite side of the mountain is within our sight, we are accustomed to sing"
ui semenay pakata senay a si sirukaikai aya maitazua,"And then we deliver what we have to say through singing, that's all."
au nu masulem anga masasenay uta,We sang to each other in the evening.
i vauaanan masulem anga,If it's dark and you're still on the mountain.
au uri masulem anga uri semaumaq anga,It's getting dark. We're going home.
au semenay utauta naluan a ne lja ai na lu an i ya na ya,And then they sang.
u ailja elualumedan namen ne ai nu ai,When we are thinking of
naluan ai nanelja liningan anga ti luljingasen ai lja uari nudja ai lju seljilja ainu ai aya,"The sun is going down, so get on your way home."
ui lja zua tjara tiamadju nu masasenasenay,So when they were singing to each other on the opposite side of the mountain.
au e maitazua sa nu aya temevela i tjaizuazua,"That's how it works. You ask a question here, you answer it there."
nu lemangeda tazua senay na tjaimaza temevela zua tjaizuazua,"This side heard the song, and the other side answered."
au,(No Chinese record)
naluan ainelja nu tjaisangas mun ai lja i pasu emaljavau amen ne ai nu ai,"If you get there first, please wait for us."
aya temevela a i i ta gadu,That's how the other side of the mountain will respond.
au a siayaya nu sema zua ta uri ucevungan niamadju,"They sang, ""If we go to the place where they meet""."
nu tjaisangas mun kaljavau amen,"If you arrive first, please wait for us."
ljatjen a maciuciur i tjen a kemasi zua aya a siayaya ta matazua,"Let's get together from that (place), talking about from there (start)"
ki maciur a semaumaq ui nu sema tazua mecevucevung,"(Going home together) Yes, that's it. Meet me at the crossroads."
azua e saka zua tjaivililj anga tua zua avan anga zazua a...e...vawa,"And then after that, the wine."
a vawa a si...sipucekecekelj,It's a wine carrier for the wedding.
saka vanazua a...sidraiyaiyan nua maraka maqacuvucuvung,It's also the wedding wine that young people drink when they dance around.
azua tjaivililj tuazua a...a parepaitung,After we give each other our clan uniforms.
saka azua uqaljay sisan i...buk tua e...maqatiy a cinuru,The woman can help the man make a blouse made of different fabrics.
azua nekanan a qataqata sicuayan ui,"Because in the oldest days, there was no beadwork."
mayatazua sicuayan azua namauramanan saka ljakua sisan kacing sisan tjevet,"That's how it was done in the old days, when we were poorer, but we made sure to make pants and warriors."
mayatazua sakavan a vayar mayatazua patjezuain,"In addition to those and the shawl, it's a complete costume."
e...azua piqulu ta vavayan ta uqaljay e...ta sicuayan azua mauramanan nekanan a namayatazua,The woman and the man will give each other headdresses because they were poor and had no headdresses for a long time.
nekanan a namayatazua zua kaljaurauramananan a paruarut a sicuayan a nekanu anema nu anema,"It's because in the past, we were really short of material goods."
min a mamazangiljan nu cemaicaing ta nanguanguaq a pagalju azua maveseveseng,Only traditional leaders wear better clothing and it's exclusive.
nua mamazangiljan tu namakuda namakeljang tu namakuda sisitusitungan nua tjaljaljaljaljak namayatazua,There is a difference between a traditional leader's patented costume and that of a commoner.
saka nu makaya tuazua e sema zua anga tjen tua semevalj,The next step is to talk about the etiquette of the marriage ceremony.
saka e...azua semevalj,The rituals of being carried in marriage
nu uri semevalj anga e...aza iuazuaza dridri a inadai,Entering into the marriage ceremony with a suckling pig as a proclamation
a sikadrusa nua zua kudrakudral,The second pig is a big one.
ita kudrakudral azua kudrakudral a silisilisi azua,A big pig was used as a wedding gift.
sisa qaljiu azua dridri sa buiqi salinipelip azua ta kaljuljud,Wrap the piglet in a head covering and stab it with a knife to bleed.
nu neka kaljuljud lipelipen tua ljava,"If you don't have a headpiece, wrap it in a pretty flowery cloth."
a...saka azua ti sanu e...papirava tuazua ti...e... uri patjedjalanen,And then there's the elder who's in charge of decorating the bride.
e...qulengen ta ljava nua qadaw azua timadju sa kipaselem ta sipaizan namayatazua,Cover the bride's head with a cloth of flowers from the sun and her face with a fan made of eagle's feathers.
saka azua semevalj tuazua avan a tjaingau anga kemasi ta sika tjaraita pasaingaw,And then the cousin or cousin in charge of carrying it will carry it.
mayatazua a semevalj namakeljang a semevalj saka e inika van azua pucekecekelj a semevalj,"There's a rule about the seniority of memorization, so it's not the groom's responsibility."
saka izua macidilj a uqaljay a e nacemavulid ta qaselu,Then behind the carrying of the bride is an elder with a pestle and mortar.
gata e...mayatazua saka nu casaw nuri sicasaw sa sa inequt i paljing azua a sinevalj,But... When the bride is carried over the threshold.
kemuang tu seman tjelulj kemuang a seman tjelulj zazua a i casaw izua rinanaw tu kemuang,"Three shots to the sky, three shots on the way out, three shots on the way out, three shots on the way out, three shots on the way out, three shots on the way out, three shots on the way out."
sanu e mangtjez sa kemuang nu sevaljen a zua ti...madju,"So when the bride walks out with a gun in her back, it's time to fire."
e sikaljavar azua sakamaya pimazai tuca kinalingdjeljan na caucau,It's a requirement of the class test that's been passed during the marriage negotiations.
sitjumalj sakamaya zazua saka nu,I must tell you about this custom.
saka nu e...sevaljen azua ti tjaqali ai ti tjadrava sipakalimalimalj zazua,The bride is then carried around the dance circle five times.
saka nu makaya ta makalimalimalj e,"After that, during the five dance circles ....."
e avan azua a saviki a a sinanapuanga,It's about sharing the betel nut that's been made ready to eat.
gata zua sicuayan azua inika inika cinavu azua inika pasezalemanen a parut a mayatucu a venuqesi,"But I've never wrapped a Lao leaf in it before, and it doesn't go straight to the bottom as if it's scattered."
azua a caucau anga na cemelak ta kun na cemelak ta ljungpau mayatucu sa avanazua ljungpau a pimazan tua saviki a siqunvunevulj,All the people hold their skirts and hemlines and let the betel nut be sprinkled on the skirts or hemlines.
mayatazua a sicuayan inika ika paka tekuin a prut ta mayatucu a avenuqesi sa ka...nu makaya ta sipakalimalimalj,"It used to be the custom not to scatter it on the ground, and then after the bride had gone around five times."
vaikanga zazua tiamadju a sema qumaqan,They took the couple inside.
saka nu e vaik a semaqumaqan azua tiamadju,And when they got to the house?
avan anga zazua a e pakasapitjen anga nu...e...tjezua i pasalauz izua tjetala izua i pasanavalj,"The couple is then seated together, perhaps at the bottom of the room, in the living room or on the right side of the room."
izua i e...pasavari namayatazua a a pulaulangan nua sicuayan,Others will sit on the left side of the house as in the former living room.
namecevucevung a sema pulaulangana a paljing na galaljigalj,The doors to all the rooms face the living room.
saka na namayatazua saka e...uri sema zuanga itjen tua,That's it. .... And then we're going to move on to
avan angazua kinalingdjeljan nu caucau a a uri tjasi a urika kinacunacu niamadju a rinavanava kuayawu saka nu,"Because of the bride's status, we have to talk about the man's bride price."
nu padjaljun anga izua i qadaw,When the wedding day comes
e azua a pinapapenepenetjan tua zua a papucekelj tu nungida,It's the day that the two parties specify for the wedding to take place.
e...saka djempu nuaya vaik a kiqenetj tua zua a rinavanava niamadju tua zua a...uri silisi,The inspector is assigned to inspect the bride price prepared by the man.
tuki namapakakaizuazua tuki kemuda aya,Let's see if we have everything or not.
saka e tjalja pazangazanga...lan azua a e sialja dri,Then the most important thing is to carry the bride's sling.
namayatazua avan anga kaljavar niamadju pare kiljivak a malaing tua zua,It depends on the willingness of both parties to accept each other.
saka e nakuya neka zazua tjalja pazangazangalan azua za kudain a caucau a semevalj nu a uri maka lialiau,"That's why it's so important, because if you don't have a sling, how are you going to carry the bride around so many times?"
saka tjalja ika nanguaq azua malim tjaljapazangazangalan azua,That's why it's the most important thing to leave out.
saka aicu uri semazuanga itje ta e ljinizauanga nuazua djemepu azua,"At this point, we have to come to the point where the inspector has completed the hiring process."
saka izua penuljat ayanga tiamadju azua aicu patjaljunanga zua qadaw ta papucekelj,"They are about to announce that the bridegroom's gift is complete, for on the day of the wedding ceremony, the bridegroom's gift is complete."
azua tjaisangas a ku sinusu zemekazekatj anan,What I've told you before is just a paraphrase of what's required.
saka tucu uri patagiljanga papucekalj,"Now, let's get to the wedding ceremony."
namapapenepenetj anga ta qadaw saka nu papucekelj tuazua i qadaw,The parties have set a date for the wedding right then and there.
ui izua penuljat nuyanga zazua tia nadjepu e...avan anga zazua a,The inspector declared that all the gifts were there.
e kirevucianga tiamadju ta...e... cemedas a qadaw a a namasi kinacu tuazua a uri silisi,"On the day of the wedding, the man will bring all the gifts with him before the sun rises."
saka nu mangtjez azua a nuri mangtjezanga zazua a sauqaljay a sema ta savavayan a...a tjemaula tua silisilisi,Then the man will come to the woman to unload the bride price.
e qaluin azua sakamaya maljiazua a aya aljusut cusuin azua ta ta qau,"They use kantai to give the gift of marriage, and all kinds of iron utensils for work are tied to bamboo with a rope."
qadjayan sa sa cusui ta qau sa qalui azua saka madradrudradruy azua a ljusut azua a nanemanemanga,Tie up all the irons with a rope so they swing around when they kan-tai.
nu qaluqaluin a mayatazua a maciuciuciur,Everything is delivered in a kantai queue.
saka nama namapasusu anga tu anema sangasangasan tu anea tu anema ina rinasudjanga,It's all organized in order of priority.
maituazua azua rasudjen ta semazua ti djempu,"It's just that when the inspector goes over there, it's in the right order."
saka e tjaljapazangalan azua nu nu minqut i nu kemasi navalj tiamadju nu sema ljevaljevar kemuang,"The most important thing to remember at this point is that when the man's team arrives from the right, they'll shoot up into the sky."
uzai anga men aya avan anga zua kemuang,The representative told the woman to announce that we're here.
saka azua sangasangasan uzai anga men aya,So the first announcement is that we're here.
sa azua sisupudrusa uzai anga men a nu sipamaw aya,The second shot is to tell you that your in-laws are here.
saka zua vilivililjan a siputjelu niamadju a kemuang e tiamen anga cu a nu sipamaw aya,We'll be your groomsmen for the last three shots.
sa avan anga zua a minequt anga tiamadju a maciuciuciur sa semangasanan tuazua kemuang,"And then they're followed by the welcoming party, so be sure to fire the first shot to tell them."
saka e azua a aitua savavayan tuazua e uzanganganganga tiamadju draiyaiyani,"At this point, the woman knows that the man is coming and says, ""Let's dance together."
e uzanganganganga ayazazua tiamadju a e savavayan dremaiyaiyan anga izua ta savavayan e dremaiaian anga izua i e,"When the woman knows the man is coming, she dances around the room to prepare."
a izuazazua uri patjedjalanen izuanga miravarava tuazua,"If the bride is eligible to be carried in a wedding ceremony, she will be prepared there"
sa...ka nu mangtjez azua tiamadju e a na sauqaljay e gemugu tiamadju,And then there's a call when the man arrives.
e wu~wu~ tiamen tisaljaljuvekan a men lja ikaseliumaumalj aya tiamadju mayatazua,They will call to proclaim that their rank is never replaced (replaced).
azua mare mareqecev tiamadju a mamazanfiljan a mamaw saka gata tjarai tjarai tjuqalja zazua,"Because they're big leaders of the same family and the same faction, and all they're doing is marrying as traditional leaders of different tribes."
inika i qinaljan azua mamaw tjarai tjuqalja,We're not in the same tribe together as leaders. We're not in the same tribe together as leaders.
saka e djinadjas a tjanuita qaluqaluin azua a a tjanutjelu i...kendraljum a aya,"So the first bottle was held in someone's hand, and the other three bottles were tied together with a lever."
sa avan anga zua patagilj anga a e patjedjalan aya a patagilj anga e pakakudakuda,"At this time, the ceremony of getting married with a backpack begins, and all the different ceremonies are performed."
saka azua a kinacunacu niamadju sisekam nua ramaljemaljeng ta sekam a ngat,The old men who brought them the bride price used straw mats made of moon peach leaves to line the rows.
sa sa zatjaki azua azua a kinacu niamadju saka,Put all the gifts they've brought in order.
saka izuanga penuljat aya,That means we've got everything we need.
au avan anga zazua a e vaiken anga zazua ti tjadrava a semazua i qumaqan a mirava ta semevalj,"At this point, you can go to the house and ask the bride to prepare for the carrying ceremony."
azua na mapakakaizuazuanga zazua sazuain nanga ti tjadrava sa e pakialalangi sa e,"Since the bridegroom's gifts are all in order, the bride's make-up can be put on."
sa e sinevalj nua maqati a semevalj azua aza tja kai anga patjai pata kemasi ta sika tjaraita pasaingaw,Then the one who is qualified to carry the bride carries the bride as we have said it is the bride's cousins and below.
sa maitucutucu timadju a maitucu ta qaselu maitazuazua za timadju sa,That's what he's doing. He's bobbing up and down.
sa nu sipakalimalimalj tja sipakalimalj anga nuaya,That's five laps. They say we've made the fifth lap.
e tjiaken anga zua ti nasemevalj a pasa qumaqan nuazua e ramaljemaljeng,The old man will lead the man carrying the bride to the house.
ika palaing tu ti pulingaw malaing tua ramaljemaljeng kanaramaljeng,"It doesn't have to be a psychic, as long as it's an elder."
avan a kakedriyan a nakuya sa ka sa pqiladji a pasa qumaqan,Young people must not be dragged.
sa nu naqemiladj anga i qumaqan sa tjinaulan anga zua ti tjadrava,When the bride has been put down to do it
cauvan ta zua vayar ni tjaqali a maitucu zazua a ti tjadrava sa,The groom covers the bride with his shawl like this.
pacacaingen a lima sa a maitucu sa cauvi ta itung ta vayar ni tjaqali a maitucu sa pacacugecugi a mayatucu tiamadju,Hold their hands in each other's and cover them with the groom's shawl and touch their heads to each other.
au makayanga itjen e azua qemacuvung anga aya saka,I'll announce that the wedding is over and the ceremony is complete.
gata e azua ramaljemaljeng semenasenai sakamaya tiama semenai tiamadju sa sa mayatazuazua ui tuazua,"But the old men are still there, humming these songs."
aza azua sisenasenai niamadju e ku paqayami kaumaya semenai kiken a makasusuanan kemuda e,They're humming so I'm gonna try to hum it and see if I can get it to go on.
sa a...ce.....qa.....a... ljan.....ne.... lja tja,(No Chinese record)
a ya i ne lja i nu se....lja... se,(No Chinese record)
ljang nga ne lja,(No Chinese record)
i....yi.....ya....a..... ma ta lev va nga,(No Chinese record)
lja.....si..... ti.....ya... ti yav tu,(No Chinese record)
i......nga...... se lja se......ljang....,(No Chinese record)
nama dja...ljun na nga lja,It means the day has come.
e niasi nutiatiaw nu nia sidjedjedjedje avan a nia kininemeneman avan a nia varuvarungen tua qadaw,Our daily thoughts are repetitively in the mind of each day
ya madja...ljun anga tucu aya azua papucekecekelj anga,So now the day has come because the wedding ceremony is already underway.
saka mayatazua gata zua ramaljeng anga ken ta ku sasenayan mangedrungedruq anga a min,"That's why I'm singing like this, but I'm getting old and my voice breaks easily."
lja namasa ramaljenganga ken imaza qinaljan,I'm an old man in the tribe. I'm an old man in the tribe.
tjemaucikel aken ta siljavakan a tua nimitja a mamazangiljan a siki sudjuang a puvaljaw,I'm going to tell you about the wedding ceremonies of the alpha family that I've experienced.
katjaisangas avan nimitja a qaqetitan a pucekelj a puvaljaw a sini qivu,"The last time I preached, it was about marriage proposals and weddings for civilians."
sa nu izua a namarauraw na pasaliw pazuljuianga timun a ramaljemaljeng a marevetjevetjek,"If there is anything missing or wrong, please ask the elders or brothers and sisters to correct or add it."
aicu a sikisudjuan na mamazangiljan ta qaqetitan mamav a isangas lja,"Regarding the marriage proposal and negotiation, the ceremony is the same for civilians and the chiefs."
aicu a ma gaduangan a maqacuvucuvung i cakar mitung ta kikasiv a mizunga a kiljipaljipaq,Neatly stacked wood by youth in aboriginal dress in the youth clubhouse.
nu namacayanga za kasiv pacengcenganga ta sivik ta mazazangiljan a kisudju,"When the wood is dry, you can go to the chief's house to propose marriage."
sazuavenanga na maqacuvucuvung a kikasiv remasudj lja a kaka,The young man will carry the materials to the woman's house and start organizing them.
sa ljetedi a ljemengugaq a remasudj azua kacuinanga a mazua itjumaq nuayanga nu kisudjuanga a savavayan a mamazangiljan,"When you're all set, you'll bring them to the head of the family to propose marriage."
sa tazua nuna padjuluanga nu i padjutanga a za sikisudju,If the marriage proposal goes through.
kikasivanga aza kasiv a ljinitaquyulj niamadju,And they made bundles of wood.
kasinevalj a ljenguaqen sa kisaviki aya kiveljeljelj aya,"Carry a backpack to pick betel nuts, bananas and"
aza mare a tevus mare a tu vavui tu dridri,"Sugar cane, and the bladders of mountain hogs or farmed pigs."
malainganga niamadju a picul na sauqaljay,It's up to the man.
sa nu djemaljunanga ta zikang tazua,When the time comes.
vaikanga a maqacuvucuvung a vaik a kemacu ta sema umaq ta za uri kacuin a ta savavayan a pakaleva ta zaua na kisudju,The young men went to the bride's house with gifts that would make her happy.
aza timadju a paljaqaljay a namasan ramalje ta mamazangiljan,Chieftain Family VIP
izuanga kemaljavaljava timadju tua sauqaljay a kemacu,The woman has someone waiting to lead them.
uli kemacu ta tiamadju a maqacuvu a kemacu taza sauzayan aya,Lead the adults who are carrying their belongings.
a niamadju a mare a sauzayan nemanga a pazangal a nemangan,Their valuables.
tiniteveljananga a pavai ta sauqaljay,The men's side will be assembled.
migacaljanga nu kadjamadjaman a qemaqivu ta savavayan,You have to tell her when you wake up in the morning.
kemacuanga tiamadju a puljaqaljay a tiamadju a namaqacuvung,Men with adults
aza sauqaljay a uqaljaqaljay a maqacuvung,Male adults
sa nu djemaljunanga tjemautjaw tiamadju tu pakaljeva tu djemaljunanga,"When you arrive at the woman's house, call out that we have arrived and make them happy."
imazanga men a sauqaljay a pakaljeva tja numun a mamazangiljan na vusam aya tiamadju izua,"Shouting, ""We men have come to the leader's house to spread joy."
tauraraken a pizuain sasaw rasudjen niamadju a kinacu a racev aya a nemanemanga a si ayavan ta liaw anemanga ta mamazangiljan,All of them were put outside to organize and arrange items such as herbs and many other items for the chief's family.
siqivuanga a ljemita a ngadan(sauzayan),"I'm going to call the names again, one by one."
aicu a ngadan a aicu a niamadju sa izua za tevus aya izua za dridri aya izua za veljevelj aya izua kasiv aya,"Their possessions include bladders, sugar cane, pigs, bananas, firewood."
azua nudjemaljunanga timadju a ramaljeng a mamazangiljan a masan qaljaqalja,Upon arrival of the head honored guest
tjemautjawanga timadju a djemaljun i mazazangiljan sa pakaleva tua tiamadju ta savavayan a kemaljavaljava,The goal is to please the woman.
sa nu djemalju izua vueq timadju aza timadju a paljaqalja izuazua a siqivuan nimadju,"Upon arrival, they began to pray in their own way by chanting."
sa nu dedet kacuin a dedet a masa kaumaqan,Close relatives are brought into the original residence.
sauqaljay savavayan matailj tiamadju sa migacalj a nimitja a ramaljeng a nasauqaljay a kemacukacu ta patjumalj tu namakudakuda a kinacu niamadju a sauzayan,The man and the woman will each have a side and the man's elder will explain what they have brought.
aza racev a kacukacuin,With herbs.
sa tevaljainanga na savavayan aza niamadju a tjalju a nemanga,The woman gathers and combines the offerings.
ki sepacengceng kinamasalu a vinalunga niamadju ta kiljivak nua sauqaljay,To see if you believe in the man's sincerity
nu namasalu sa marasudj a ravaljan,If believed and agreed upon
patagiljanga tiamadju a seman lauliyar,And they began to tell of the family's great deeds.
paselauliyar a mamazangiljan a tiamadju a mamazangiljan a ramaljemaljeng i cakar a mulungs aya a paqaljai,"In the men's clubhouse, the chiefs and elders spoke respectfully about the accomplishments of their families."
tiamadju a izua tiamadju a maqepuqepu tiamadju sa masa senasenay,They gathered and sang.
mase laulian tiamadju ta senay a ramaljemaljeng ta sicuayan a senay,The elders sang an old song as they told of their accomplishments.
patjumalj tu anema niamadju a kasusu maljimalji ta tja cemas aya paka maljimalji ta kasusu niamadju a kasi vinqaca,"Tell each other what our friends and family do, and thank God and our ancestors."
nu malumanga a masenasenay a tiamadju aya malangalanganga ta vava,"When the time is right, we'll sing and drink."
mapateketekelanga tiamadju ta mamazangiljan a tiamadju a mata taitailj a mamazangiljan,Toasting each other's bosses.
namaitucu a kinasudjuan na mamazangiljan,This is the marriage proposal of the ringleader's family.
aza djungdjiu niamadju malum a mamazangiljan a tiamadju a napaqaljai nu mapasusu a namaseqetj,"When it's the right time to talk, we respect each other."
na paqaljai ta nimitja a qinaljan,And respect for our tribe.
nama teketekel,propose a toast to one another
numalumanga za matazua,Preliminary Consensus Reached
nu maka qacuvunganga tiamadju a palisian niamadju a itedep,After their blessing ceremony.
ljisasawanga tiamadju a zemiyananga sa puljangananga aya tjen,Then we'll go outside and have fun and dance.
avananga a siqivu taza kaqinqljan a mamazangiljan a ngadan a siqivu nimadju a ramaljeng,Introducing the head VIPs of each tribe
lja siseljangan a tiamadjua a ramaljeng a tua patjumalj tua mamazangiljan ta kemasi inu tuazuanga,Let the elders tell the leaders where they come from.
djaluman aya ti muni aya tjai talumak a ti vasang aya,"It's like Muni from a different tribe, Fatsang."
si qivu tiamadju a mamazangiljan a a kangkialu a niamadju a mamazangiljan,Introducing leaders who are related to them.
sa zimiaziyan tiamadju a maqacuvucuvung i qinaljan,The youths danced and sang with their tribesmen in their tribes.
mapateketekel tiamadju i sasawangata a qatitan a timadjuanga pusanganga,"Toasting each other, getting to know each other, honoring each other."
nacaucauanga lja maqepuqepuanga i sasaw a temekel nu maka qivuanga timadju a paljaqaljay sauqaljay ta nimadju a ngadan a mamazangiljan tuza i qinaljan,"After the ringleader introduces the man, everyone's out drinking and having fun."
